Ticker,SignalDate,EntryDate,EntryPrice,Status,DaysHeld,ExitDate,ExitPrice,ReturnPct,ExitReason,LastBarDate,StopPrice
NAN,,,,nan,0,,,,,,
DLTR,2026-02-12,2026-02-12,128.43,CLOSED,19,2026-03-02,119.87999725341795,-6.657325193943809,TIME_EXIT(15D),2026-03-02,
AVGO,2026-02-09,2026-02-09,343.94,CLOSED,12,2026-02-24,320.333313,-6.863606156,SELL_TRAIL,2026-02-24,
AIG,2026-02-11,2026-02-11,78.44,CLOSED,20,2026-03-02,81.12000274658203,3.416627672848072,TIME_EXIT(15D),2026-03-02,
NRG,2026-02-13,2026-02-13,172.35,CLOSED,18,2026-03-02,175.5800018310547,1.8740944769682024,TIME_EXIT(15D),2026-03-02,
GRMN,2026-02-13,2026-02-13,214.74,CLOSED,18,2026-03-02,255.1600036621093,18.822764115725697,TIME_EXIT(15D),2026-03-02,
ETR,2026-02-13,2026-02-13,105.07,CLOSED,18,2026-03-02,106.62999725341795,1.484721855351645,TIME_EXIT(15D),2026-03-02,
FLS,2026-02-13,2026-02-13,89.69,CLOSED,18,2026-03-02,87.51000213623047,-2.4305918873559262,TIME_EXIT(15D),2026-03-02,
NOK,2026-02-23,2026-02-23,7.769999981,OPEN,10,,,,,2026-03-04,
FIVE,2026-02-23,2026-02-23,220.0899963,OPEN,10,,,,,2026-03-04,
AKR,2026-02-24,2026-02-24,20.55999947,OPEN,9,,,,,2026-03-04,
SUPN,2026-02-25,2026-02-25,53.29999924,OPEN,8,,,,,2026-03-04,
UCTT,2026-02-25,2026-02-25,71.95999908,OPEN,8,,,,,2026-03-04,
JAZZ,2026-02-26,2026-02-26,196.8300018,OPEN,7,,,,,2026-03-04,
FLKR,2026-02-26,2026-02-26,48.36999893,OPEN,7,,,,,2026-03-04,
JNJ,2026-02-28,2026-02-28,248.4299927,OPEN,5,,,,,2026-03-04,
REG,2026-02-28,2026-02-28,79.0,OPEN,5,,,,,2026-03-04,
ATO,2026-02-28,2026-02-28,186.7899933,OPEN,5,,,,,2026-03-04,
VIAV,2026-03-03,2026-03-03,35.349998474121094,OPEN,2,,,,,2026-03-04,
FANG,2026-03-03,2026-03-03,178.9600067138672,OPEN,2,,,,,2026-03-04,
VLO,2026-03-04,2026-03-04,217.7100067138672,OPEN,1,,,,,2026-03-04,
BKSY,2026-03-04,2026-03-04,22.71999931335449,OPEN,1,,,,,2026-03-04,
MRNA,2026-03-05,2026-03-05,57.79999923706055,OPEN,1,,,,,2026-03-04,
